timestamp_ns,mode,fsm,rl_type,obs_00_base_ang_vel_x_scaled,obs_01_base_ang_vel_y_scaled,obs_02_base_ang_vel_z_scaled,obs_03_projected_gravity_x,obs_04_projected_gravity_y,obs_05_projected_gravity_z,obs_06_abad_l_position_offset_scaled,obs_07_hip_l_position_offset_scaled,obs_08_knee_l_position_offset_scaled,obs_09_abad_r_position_offset_scaled,obs_10_hip_r_position_offset_scaled,obs_11_knee_r_position_offset_scaled,obs_12_abad_l_velocity_scaled,obs_13_hip_l_velocity_scaled,obs_14_knee_l_velocity_scaled,obs_15_wheel_l_velocity_scaled,obs_16_abad_r_velocity_scaled,obs_17_hip_r_velocity_scaled,obs_18_knee_r_velocity_scaled,obs_19_wheel_r_velocity_scaled,obs_20_last_action_abad_l,obs_21_last_action_hip_l,obs_22_last_action_knee_l,obs_23_last_action_wheel_l,obs_24_last_action_abad_r,obs_25_last_action_hip_r,obs_26_last_action_knee_r,obs_27_last_action_wheel_r
1788508259667904290,sim,WALK,isaacgym,-0.000056008,0.000984712,0.000162330,0.049368509,0.005887941,-0.998763277,0.075114027,0.062187691,-0.052175829,-0.120163105,-0.058425789,0.082640300,0.000021882,0.000045166,0.000074420,-0.001089396,0.000018656,-0.000101834,-0.000076469,-0.001231786,-0.485089183,0.609657943,-2.266087532,-0.037954081,0.437562048,-0.525473654,2.034063816,-0.053924475
1788508259687845142,sim,WALK,isaacgym,-0.000081882,0.000863448,0.000160006,0.049435019,0.005892411,-0.998759960,0.075123005,0.062198286,-0.052146087,-0.120155640,-0.058463534,0.082610080,0.000027239,0.000018094,0.000089138,-0.000803625,0.000022298,-0.000108293,-0.000090033,-0.001090889,-0.484671772,0.609757125,-2.266162872,-0.023098605,0.437135607,-0.525764227,2.034369946,-0.044674385
1788508259707827732,sim,WALK,isaacgym,-0.000105875,0.000729702,0.000154141,0.049492191,0.005898679,-0.998757092,0.075133748,0.062198390,-0.052111993,-0.120146975,-0.058502113,0.082575927,0.000031748,-0.000012904,0.000098955,-0.000501466,0.000025369,-0.000106872,-0.000098328,-0.000919704,-0.484200120,0.609755576,-2.266248465,-0.008606541,0.436667562,-0.525933087,2.034663200,-0.034878992
1788508259727813712,sim,WALK,isaacgym,-0.000125981,0.000585528,0.000145065,0.049539385,0.005906559,-0.998754706,0.075145870,0.062187095,-0.052075217,-0.120137393,-0.058539008,0.082539687,0.000034965,-0.000044466,0.000104411,-0.000195940,0.000027459,-0.000100223,-0.000102218,-0.000727317,-0.483695626,0.609716833,-2.266329527,0.004938138,0.436175317,-0.526056707,2.034893513,-0.024946844
1788508259747900208,sim,WALK,isaacgym,-0.000125680,0.000441363,0.000127314,0.049577991,0.005915784,-0.998752735,0.075159706,0.062167232,-0.052033374,-0.120126769,-0.058575665,0.082499096,0.000033102,-0.000045796,0.000103694,-0.000024276,0.000024880,-0.000085119,-0.000099707,-0.000506926,-0.483163834,0.609648347,-2.266430378,0.017306974,0.435677826,-0.526138425,2.035068989,-0.015479833
1788508259767873193,sim,WALK,isaacgym,-0.000104558,0.000314628,0.000100976,0.049606376,0.005924104,-0.998751277,0.075170562,0.062154402,-0.051997313,-0.120118931,-0.058601801,0.082464824,0.000027311,-0.000025523,0.000096189,0.000016548,0.000019014,-0.000063436,-0.000090505,-0.000304921,-0.482652426,0.609776556,-2.266705275,0.029283397,0.435200185,-0.526123166,2.035217285,-0.006640414
1788508259787911849,sim,WALK,isaacgym,-0.000089666,0.000188612,0.000073557,0.049625404,0.005931073,-0.998750290,0.075180024,0.062145357,-0.051962922,-0.120112568,-0.058620443,0.082432876,0.000022841,-0.000022180,0.000085115,0.000132893,0.000014963,-0.000039129,-0.000077922,-0.000094314,-0.482202649,0.609949589,-2.266989470,0.041895285,0.434826881,-0.526012003,2.035207987,0.001992888
1788508259807894140,sim,WALK,isaacgym,-0.000102177,0.000075942,0.000056564,0.049633682,0.005936909,-0.998749844,0.075188063,0.062135284,-0.051935861,-0.120107122,-0.058634033,0.082408617,0.000024746,-0.000036020,0.000074548,0.000312028,0.000017445,-0.000044445,-0.000065352,-0.000019745,-0.481776237,0.610006809,-2.267116547,0.054361328,0.434526831,-0.525954068,2.035106659,0.010426871
1788508259828115323,sim,WALK,isaacgym,-0.000131147,-0.000056688,0.000041766,0.049634146,0.005945170,-0.998749772,0.075196810,0.062119444,-0.051912854,-0.120100655,-0.058651571,0.082388768,0.000029286,-0.000058897,0.000069504,0.000537809,0.000022396,-0.000064933,-0.000058898,0.000006818,-0.481440485,0.609888792,-2.266834736,0.066519871,0.434268624,-0.526004553,2.034801483,0.019870125
1788508259847893285,sim,WALK,isaacgym,-0.000150059,-0.000194669,0.000030607,0.049624851,0.005955270,-0.998750173,0.075208604,0.062091475,-0.051886508,-0.120091446,-0.058682223,0.082366238,0.000032126,-0.000085221,0.000069734,0.000818119,0.000025304,-0.000094463,-0.000060640,0.000045559,-0.481111050,0.609694958,-2.266490221,0.078123935,0.434025109,-0.526111662,2.034238338,0.030684318
1788508259867777814,sim,WALK,isaacgym,-0.000155521,-0.000353615,0.000020201,0.049605034,0.005966240,-0.998751092,0.075220302,0.062057053,-0.051860044,-0.120082304,-0.058719297,0.082342515,0.000032573,-0.000102758,0.000077947,0.001088824,0.000025164,-0.000109863,-0.000071507,0.000181040,-0.480734766,0.609501362,-2.266167402,0.088720523,0.433798373,-0.526303887,2.033720016,0.042417806
1788508259887843352,sim,WALK,isaacgym,-0.000152378,-0.000538914,0.000009525,0.049570876,0.005977895,-0.998752719,0.075232558,0.062014883,-0.051828036,-0.120073095,-0.058761467,0.082312355,0.000031779,-0.000115166,0.000089659,0.001367074,0.000023252,-0.000112793,-0.000085898,0.000398764,-0.480338633,0.609400988,-2.266102076,0.097791478,0.433535010,-0.526402354,2.033414364,0.053974919
1788508259907840787,sim,WALK,isaacgym,-0.000145742,-0.000697714,-0.000004433,0.049526104,0.005988600,-0.998754876,0.075243756,0.061970820,-0.051794479,-0.120065175,-0.058799599,0.082279811,0.000030442,-0.000126494,0.000095616,0.001596457,0.000020942,-0.000100994,-0.000093398,0.000628826,-0.479928315,0.609315515,-2.266276360,0.104327030,0.433233947,-0.526407659,2.033385515,0.064071767
1788508259927776498,sim,WALK,isaacgym,-0.000138040,-0.000843200,-0.000021276,0.049470458,0.005998833,-0.998757572,0.075254396,0.061923151,-0.051760147,-0.120058089,-0.058831726,0.082246194,0.000028667,-0.000135136,0.000094705,0.001782340,0.000018645,-0.000080783,-0.000092780,0.000856790,-0.479565799,0.609243572,-2.266494751,0.108157985,0.432926357,-0.526380658,2.033540726,0.072286189
1788508259947794940,sim,WALK,isaacgym,-0.000126704,-0.000976117,-0.000040457,0.049401091,0.006008991,-0.998760944,0.075264685,0.061870297,-0.051725874,-0.120051600,-0.058856939,0.082212696,0.000025553,-0.000141013,0.000085308,0.001920638,0.000015683,-0.000054818,-0.000083066,0.001069584,-0.479268909,0.609141946,-2.266726971,0.109009884,0.432637215,-0.526293039,2.033761978,0.078283764
1788508259967907278,sim,WALK,isaacgym,-0.000111376,-0.001059321,-0.000058619,0.049327701,0.006017705,-0.998764519,0.075273462,0.061814879,-0.051697085,-0.120046429,-0.058870380,0.082184861,0.000020883,-0.000147702,0.000066882,0.001993863,0.000011900,-0.000021293,-0.000064089,0.001244981,-0.479054689,0.608963609,-2.266912222,0.106468782,0.432409167,-0.526110649,2.033951521,0.081630163
