timestamp_ns,mode,fsm,rl_type,obs_00_base_ang_vel_x_scaled,obs_01_base_ang_vel_y_scaled,obs_02_base_ang_vel_z_scaled,obs_03_projected_gravity_x,obs_04_projected_gravity_y,obs_05_projected_gravity_z,obs_06_abad_l_position_offset_scaled,obs_07_hip_l_position_offset_scaled,obs_08_knee_l_position_offset_scaled,obs_09_abad_r_position_offset_scaled,obs_10_hip_r_position_offset_scaled,obs_11_knee_r_position_offset_scaled,obs_12_abad_l_velocity_scaled,obs_13_hip_l_velocity_scaled,obs_14_knee_l_velocity_scaled,obs_15_wheel_l_velocity_scaled,obs_16_abad_r_velocity_scaled,obs_17_hip_r_velocity_scaled,obs_18_knee_r_velocity_scaled,obs_19_wheel_r_velocity_scaled,obs_20_last_action_abad_l,obs_21_last_action_hip_l,obs_22_last_action_knee_l,obs_23_last_action_wheel_l,obs_24_last_action_abad_r,obs_25_last_action_hip_r,obs_26_last_action_knee_r,obs_27_last_action_wheel_r
1788509070106434962,sim,WALK,isaacgym,-0.006185360,-0.011225901,0.001561504,0.059334798,0.006656811,-0.998215943,0.078800507,0.067390253,-0.045561681,-0.121274516,-0.058886577,0.077145348,0.001435298,-0.003692881,0.003652490,0.037993532,0.001116521,-0.001458347,-0.003070877,0.015945476,-0.483587325,0.644024074,-2.304952860,2.234347343,0.417468458,-0.576880395,2.156878710,1.291803122
1788509070126287562,sim,WALK,isaacgym,-0.005431737,-0.014755728,0.001254958,0.058331524,0.007094087,-0.998272061,0.079286672,0.065879484,-0.044278274,-0.120906197,-0.059321870,0.076075921,0.001115405,-0.004265589,0.003062814,0.042399654,0.000816000,-0.000792096,-0.002531023,0.020771047,-0.471189022,0.639072537,-2.315304041,2.237159729,0.404175848,-0.573060393,2.163638115,1.392270684
1788509070146357898,sim,WALK,isaacgym,-0.004373972,-0.017196640,0.000852208,0.057165151,0.007442276,-0.998336996,0.079617761,0.064264541,-0.043318639,-0.120675586,-0.059477334,0.075292716,0.000733958,-0.004738600,0.002253594,0.044751972,0.000474669,-0.000009201,-0.001807703,0.024452870,-0.460204780,0.632892668,-2.327194452,2.147359133,0.394668877,-0.566861749,2.165503502,1.434963346
1788509070166503590,sim,WALK,isaacgym,-0.003313625,-0.018076995,0.000297427,0.056027784,0.007685053,-0.998399633,0.079792671,0.062672769,-0.042744765,-0.120575503,-0.059327250,0.074849138,0.000374735,-0.005199470,0.001352091,0.045382625,0.000164690,0.000950690,-0.000984827,0.027069634,-0.451435089,0.626618028,-2.339102507,1.981588125,0.389202863,-0.559730232,2.162173748,1.427324653
1788509070186534913,sim,WALK,isaacgym,-0.001777431,-0.018747592,-0.000360644,0.054629942,0.007878607,-0.998475587,0.079843320,0.060624470,-0.042467127,-0.120590352,-0.058750351,0.074686596,-0.000097046,-0.005498428,0.000152092,0.044435012,-0.000233317,0.001983825,0.000077705,0.029172829,-0.444724143,0.621549845,-2.351027966,1.763097167,0.387418687,-0.554103255,2.154874325,1.383087993
1788509070206463830,sim,WALK,isaacgym,-0.000074720,-0.019221563,-0.000742430,0.053252070,0.007945897,-0.998549488,0.079719007,0.058641319,-0.042631397,-0.120748512,-0.057897647,0.074901233,-0.000570768,-0.005535986,-0.001009535,0.042087781,-0.000626340,0.002749168,0.001056988,0.030110523,-0.440574944,0.612391770,-2.359895945,1.477194309,0.390394956,-0.543033123,2.138098717,1.285344124
1788509070226314802,sim,WALK,isaacgym,0.001463658,-0.018868010,-0.000962610,0.051874585,0.007893740,-0.998622409,0.079435304,0.056673457,-0.043196688,-0.121036783,-0.056784754,0.075451980,-0.000959747,-0.005367277,-0.002041115,0.038343796,-0.000934834,0.003402534,0.001931225,0.030069160,-0.439329326,0.604552746,-2.364635944,1.133057952,0.398150533,-0.530619502,2.116911173,1.137494206
1788509070246364648,sim,WALK,isaacgym,0.002433463,-0.017822430,-0.001154228,0.050621544,0.007760960,-0.998687752,0.079066366,0.054921587,-0.044029245,-0.121384889,-0.055543904,0.076233277,-0.001175727,-0.004912905,-0.002775731,0.033455795,-0.001083409,0.003866879,0.002598680,0.029076004,-0.441642880,0.598076224,-2.366899729,0.734682083,0.409147322,-0.517376900,2.094111443,0.941261172
1788509070266464068,sim,WALK,isaacgym,0.003072029,-0.015935441,-0.001364594,0.049337424,0.007553608,-0.998753604,0.078596570,0.053209459,-0.045199404,-0.121807106,-0.054006924,0.077333817,-0.001273047,-0.004048949,-0.003308945,0.026490313,-0.001120011,0.004154332,0.003128503,0.026807639,-0.447046936,0.594462872,-2.369271755,0.292444646,0.421791494,-0.506812274,2.074373484,0.702025056
1788509070286405018,sim,WALK,isaacgym,0.003382989,-0.013643300,-0.001502013,0.048387854,0.007350727,-0.998801573,0.078162566,0.052008872,-0.046376059,-0.122181408,-0.052580346,0.078455458,-0.001273186,-0.003031057,-0.003569972,0.018975675,-0.001078398,0.004222034,0.003428352,0.023650254,-0.456492007,0.590774536,-2.367976904,-0.177077129,0.435627103,-0.496237516,2.057621241,0.425322890
1788509070306342999,sim,WALK,isaacgym,0.003616352,-0.009985524,-0.001594226,0.047451159,0.007076611,-0.998848492,0.077690706,0.051126321,-0.047753701,-0.122572348,-0.051001971,0.079792032,-0.001213450,-0.001586943,-0.003637539,0.009230124,-0.000985560,0.003996182,0.003555007,0.018800949,-0.467227399,0.590621829,-2.368374348,-0.645714164,0.449279010,-0.491491973,2.044907331,0.126054347
1788509070326293877,sim,WALK,isaacgym,0.003722534,-0.006598899,-0.001634386,0.046826254,0.006800824,-0.998879898,0.077247284,0.050852885,-0.049113283,-0.122924849,-0.049594437,0.081132064,-0.001110992,0.000082630,-0.003487387,-0.000831842,-0.000862661,0.003397604,0.003472911,0.012985115,-0.481360376,0.590129316,-2.362470150,-1.075724483,0.463282824,-0.487968326,2.039120674,-0.176467955
1788509070346279373,sim,WALK,isaacgym,0.003542391,-0.003553976,-0.001722961,0.046467410,0.006545540,-0.998898361,0.076877818,0.051175808,-0.050314019,-0.123203836,-0.048503478,0.082343111,-0.000953922,0.001677416,-0.003177489,-0.009838059,-0.000699828,0.002637661,0.003240904,0.007184003,-0.496683955,0.590995252,-2.356064320,-1.441773534,0.476232558,-0.487888813,2.035904884,-0.463735044
1788509070366299724,sim,WALK,isaacgym,0.003317466,0.000005635,-0.001635861,0.046342370,0.006305419,-0.998905714,0.076566994,0.052047138,-0.051389465,-0.123423733,-0.047698860,0.083451161,-0.000787947,0.003055310,-0.002813785,-0.018385133,-0.000536770,0.001869852,0.002919496,0.001128088,-0.511406124,0.591731429,-2.349285126,-1.735207558,0.487854779,-0.491061360,2.036688328,-0.728783667
1788509070386306385,sim,WALK,isaacgym,0.003297100,0.004361426,-0.001138834,0.046506167,0.006073029,-0.998899542,0.076303288,0.053326522,-0.052337835,-0.123598933,-0.047146087,0.084429631,-0.000689127,0.003968333,-0.002470937,-0.025855151,-0.000448213,0.001203594,0.002525719,-0.004890182,-0.526119590,0.594171047,-2.341762543,-1.943981647,0.497767329,-0.495297164,2.040625095,-0.959632754
